Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
7/10/2015 0:00,7/11/2015 0:00,5.060248151,10,10279
7/11/2015 0:00,7/12/2015 0:00,4.754757218,14,10017
7/12/2015 0:00,7/13/2015 0:00,6.218347351,11,13479
7/13/2015 0:00,7/14/2015 0:00,4.106151326,12,9494
7/14/2015 0:00,7/15/2015 0:00,4.793232522,7,10267
7/15/2015 0:00,7/16/2015 0:00,5.094069385,12,11615
7/16/2015 0:00,7/17/2015 0:00,4.726708522,11,10009
7/17/2015 0:00,7/18/2015 0:00,7.875724519,12,16812
7/18/2015 0:00,7/19/2015 0:00,5.108124801,12,10826
7/19/2015 0:00,7/20/2015 0:00,4.641443967,9,9740
7/20/2015 0:00,7/21/2015 0:00,4.356936739,15,9265
7/21/2015 0:00,7/22/2015 0:00,3.185217082,9,6668
7/22/2015 0:00,7/23/2015 0:00,4.079979172,12,9330
7/23/2015 0:00,7/24/2015 0:00,4.070758023,8,9077
7/24/2015 0:00,7/25/2015 0:00,4.622299521,11,9366
7/25/2015 0:00,7/26/2015 0:00,3.735478555,13,7960
7/26/2015 0:00,7/27/2015 0:00,4.391808091,10,9138
7/27/2015 0:00,7/28/2015 0:00,4.362125189,14,9232
7/28/2015 0:00,7/29/2015 0:00,4.593262845,14,10264
7/29/2015 0:00,7/30/2015 0:00,5.460150223,13,11607
7/30/2015 0:00,7/31/2015 0:00,3.200602233,11,6675
7/31/2015 0:00,8/1/2015 0:00,3.850674561,6,8447
8/1/2015 0:00,8/2/2015 0:00,3.534794301,7,7380
8/2/2015 0:00,8/3/2015 0:00,4.777089298,10,10286
8/3/2015 0:00,8/4/2015 0:00,4.5338784,19,9819
8/4/2015 0:00,8/5/2015 0:00,3.968380906,15,8824
8/5/2015 0:00,8/6/2015 0:00,3.812603148,10,8678
8/6/2015 0:00,8/7/2015 0:00,3.620133421,5,8343
8/7/2015 0:00,8/8/2015 0:00,4.064724509,6,8765
8/8/2015 0:00,8/9/2015 0:00,6.622773006,13,14173
8/9/2015 0:00,8/10/2015 0:00,4.874737781,9,10271
8/10/2015 0:00,8/11/2015 0:00,3.602996003,15,7374
8/11/2015 0:00,8/12/2015 0:00,4.968285214,16,10474
8/12/2015 0:00,8/13/2015 0:00,4.672431749,11,10255
8/13/2015 0:00,8/14/2015 0:00,4.06167979,7,8405
8/14/2015 0:00,8/15/2015 0:00,5.065734858,18,11552
8/15/2015 0:00,8/16/2015 0:00,8.788860554,13,19220
8/16/2015 0:00,8/17/2015 0:00,3.067150342,8,6424
8/17/2015 0:00,8/18/2015 0:00,4.002382337,14,9593
8/18/2015 0:00,8/19/2015 0:00,5.664102889,13,12167
8/19/2015 0:00,8/20/2015 0:00,4.006141633,9,8181
8/20/2015 0:00,8/21/2015 0:00,4.562368269,12,9385
8/21/2015 0:00,8/22/2015 0:00,5.424794202,14,11461
8/22/2015 0:00,8/23/2015 0:00,8.814311918,18,17962
8/23/2015 0:00,8/24/2015 0:00,3.501811918,6,7808
8/24/2015 0:00,8/25/2015 0:00,4.403980752,11,9259
8/25/2015 0:00,8/26/2015 0:00,4.769651485,15,11047
8/26/2015 0:00,8/27/2015 0:00,4.334082707,12,9613
8/27/2015 0:00,8/28/2015 0:00,3.804792512,12,8336
8/28/2015 0:00,8/29/2015 0:00,4.754110992,14,10676
8/29/2015 0:00,8/30/2015 0:00,6.048750298,11,13033
8/30/2015 0:00,8/31/2015 0:00,3.984841028,8,8197
8/31/2015 0:00,9/1/2015 0:00,4.864895262,15,10458
9/1/2015 0:00,9/2/2015 0:00,5.161581365,13,10979
9/2/2015 0:00,9/3/2015 0:00,4.252577448,13,9737
9/3/2015 0:00,9/4/2015 0:00,4.034575579,11,9588
9/4/2015 0:00,9/5/2015 0:00,6.883630846,11,14937
9/5/2015 0:00,9/6/2015 0:00,6.140259634,9,13381
9/6/2015 0:00,9/7/2015 0:00,7.429791269,15,15961
9/7/2015 0:00,9/8/2015 0:00,8.39203427,13,18124
9/8/2015 0:00,9/9/2015 0:00,7.170275591,16,15626
9/9/2015 0:00,9/10/2015 0:00,7.663899079,14,15991
9/10/2015 0:00,9/11/2015 0:00,6.062544739,13,12955
9/11/2015 0:00,9/12/2015 0:00,5.122571681,6,11151
9/12/2015 0:00,9/13/2015 0:00,0.845903673,0,1825
9/13/2015 0:00,9/14/2015 0:00,1.578189623,0,2968
9/14/2015 0:00,9/15/2015 0:00,4.673251959,16,9909
9/15/2015 0:00,9/16/2015 0:00,3.959712777,16,8760
9/16/2015 0:00,9/17/2015 0:00,4.146329188,12,9393
9/17/2015 0:00,9/18/2015 0:00,4.090082667,11,8497
9/18/2015 0:00,9/19/2015 0:00,3.947217003,12,9125
9/19/2015 0:00,9/20/2015 0:00,5.299128092,15,10996
9/20/2015 0:00,9/21/2015 0:00,7.434631751,22,16075
9/21/2015 0:00,9/22/2015 0:00,4.633689255,14,9857
9/22/2015 0:00,9/23/2015 0:00,4.847092977,16,10202
9/23/2015 0:00,9/24/2015 0:00,5.017031784,11,10855
9/24/2015 0:00,9/25/2015 0:00,3.62421583,10,7673
9/25/2015 0:00,9/26/2015 0:00,4.551879524,10,9551
9/26/2015 0:00,9/27/2015 0:00,5.924966943,10,12786
9/27/2015 0:00,9/28/2015 0:00,9.762977959,11,20672
9/28/2015 0:00,9/29/2015 0:00,4.554843464,14,9965
9/29/2015 0:00,9/30/2015 0:00,4.744330609,12,10104
9/30/2015 0:00,10/1/2015 0:00,5.759023552,14,11940
10/1/2015 0:00,10/2/2015 0:00,4.014120039,11,8175
10/2/2015 0:00,10/3/2015 0:00,4.887687157,17,10234
10/3/2015 0:00,10/4/2015 0:00,3.740536517,12,7744
